なし	
命の盾	回復スキルで超過した分シールド付与
	
○ドラゴニュート	バフスキルの持続＋
New	
New	
New	
○フェニックス	
解体+	剥ぎ取り数が確率で+1
採取+	採取数が確率で+1
解体術	剥ぎ取り素材が確率でランク+1
○スライム	採取素材が確率でランク+1
応急手当て	戦闘終了時の全員のHP回復量＋
タフガイ	戦闘終了時の自身HP回復量＋
道しるべ	未発見部屋探索率＋
○ビッグシザー	味方全員の獲得経験値＋
あああ	
New	
New	
○ハウンテッド	
New	
New	
New	
○ゴーレム	
New	
New	
New	
○ウンディーネ	
New	
New	
New	
○コボルド	
New	
New	
New	
○ヴァンパイア	
New	
New	
New	
○ゴースト	
New	
New	
New	
●敵専用	
